datetime,frame,yaw,pitch,roll,hrate,Rect.x,Rect.y,Rect.w,Rect.h,BROW_RAISER_LEFT, BROW_RAISER_RIGHT, BROW_LOWERER_LEFT, BROW_LOWERER_RIGHT,SMILE, KISS, MOUTH_OPEN, TONGUE_OUT,HEAD_TURN_LEFT, HEAD_TURN_RIGHT, HEAD_UP, HEAD_DOWN, HEAD_TILT_LEFT,EYES_CLOSED_LEFT, EYES_CLOSED_RIGHT, EYES_TURN_LEFT, EYES_TURN_RIGHT, EYES_UP, EYES_DOWN,PUFF_LEFT,PUFF_RIGHT,
2015_11_5_15:2:6:862,0,0,0,0,0,137,147,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_11_5_15:2:7:221,359,0,0,0,0,245,115,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_11_5_15:2:7:256,394,0,0,0,0,244,115,261,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_11_5_15:2:7:286,424,0,0,0,0,243,114,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_11_5_15:2:7:320,458,8.11229,-3.76384,-3.36618,0,241,116,255,256,0,0,0,0,55,0,0,0,0,0,0,0,0,100,0,0,39,100,0,0,0
2015_11_5_15:2:7:349,487,8.26235,-3.34401,-3.12155,0,238,116,255,256,0,0,0,0,55,0,0,0,0,0,0,0,0,100,0,0,36,100,0,0,0
2015_11_5_15:2:7:385,523,8.06629,-2.65181,-3.26337,0,238,118,252,252,0,0,0,0,56,0,0,0,0,0,0,0,0,100,0,0,25,100,0,0,0
2015_11_5_15:2:7:430,568,8.28863,-2.62476,-3.28633,0,240,120,249,248,0,0,0,0,48,0,0,0,0,0,0,0,0,100,0,0,19,100,0,0,0
2015_11_5_15:2:7:453,591,9.70991,-4.20869,-3.17722,0,240,120,247,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_11_5_15:2:7:492,629,9.70991,-4.20869,-3.17722,0,240,120,247,246,0,0,0,0,44,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0
2015_11_5_15:2:7:518,656,9.35804,-3.22379,-2.955,0,243,122,241,242,0,0,0,0,36,0,0,0,0,0,0,0,0,100,0,0,30,100,0,0,0
2015_11_5_15:2:7:555,693,8.89996,-3.07056,-3.115,0,236,115,255,255,0,0,0,0,24,0,0,0,0,0,0,0,0,100,0,0,17,100,0,0,0
2015_11_5_15:2:7:585,723,8.79046,-3.0802,-3.02467,0,232,116,256,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_11_5_15:2:7:618,756,8.79046,-3.0802,-3.02467,0,232,116,256,255,0,0,0,0,22,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0
2015_11_5_15:2:7:649,787,8.29571,-2.99241,-2.94722,0,233,116,254,254,0,0,0,0,10,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0
2015_11_5_15:2:7:682,820,8.17783,-2.2973,-2.69978,0,234,117,252,252,0,0,0,0,28,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0
2015_11_5_15:2:7:731,869,8.01967,-2.34216,-2.53456,0,235,117,250,251,0,0,0,0,30,0,0,0,0,0,0,0,0,100,0,0,20,100,0,0,0
2015_11_5_15:2:7:753,891,8.52113,-2.02511,-2.63896,0,234,117,251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_11_5_15:2:7:788,926,8.52113,-2.02511,-2.63896,0,234,117,251,251,0,0,0,0,26,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0
2015_11_5_15:2:7:817,955,7.86506,-1.62431,-2.36188,0,235,118,249,248,0,0,0,0,5,0,0,0,0,0,0,0,0,100,0,0,30,100,0,0,0
2015_11_5_15:2:7:854,992,7.53282,-1.36091,-2.44571,0,235,119,248,248,0,0,0,0,16,0,0,0,0,0,0,0,0,100,0,0,20,100,0,0,0
