datetime,frame,yaw,pitch,roll,hrate,Rect.x,Rect.y,Rect.w,Rect.h,BROW_RAISER_LEFT, BROW_RAISER_RIGHT, BROW_LOWERER_LEFT, BROW_LOWERER_RIGHT,SMILE, KISS, MOUTH_OPEN, TONGUE_OUT,HEAD_TURN_LEFT, HEAD_TURN_RIGHT, HEAD_UP, HEAD_DOWN, HEAD_TILT_LEFT,EYES_CLOSED_LEFT, EYES_CLOSED_RIGHT, EYES_TURN_LEFT, EYES_TURN_RIGHT, EYES_UP, EYES_DOWN,PUFF_LEFT,PUFF_RIGHT,
2015_10_22_13:25:47:61,0,1.61591,7.8049,-0.569893,0,186,211,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,100,0,0,0
2015_10_22_13:25:47:422,361,18.9647,7.74179,-6.52217,0,207,144,233,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_10_22_13:25:47:455,394,19.0319,7.85895,-7.00768,0,212,141,233,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_10_22_13:25:47:485,424,18.9833,7.81359,-6.86771,0,210,144,231,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_10_22_13:25:47:519,458,18.8907,7.77371,-6.72127,0,209,149,231,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_10_22_13:25:47:550,489,16.6025,8.17523,-6.3827,0,210,146,232,232,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,17,58,0,0,0
2015_10_22_13:25:47:585,524,14.2583,8.28719,-5.77797,0,211,146,231,231,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,53,0,0,0
2015_10_22_13:25:47:615,553,11.8607,8.60633,-5.23713,0,212,147,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015_10_22_13:25:47:648,587,11.8607,8.60633,-5.23713,0,212,147,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0
2015_10_22_13:25:47:696,635,9.53448,8.81055,-4.60694,0,211,147,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,26,0,45,0,0,0
2015_10_22_13:25:47:718,657,0.42949,9.43967,-2.25203,0,211,146,230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,26,0,45,0,0,0
2015_10_22_13:25:47:753,692,7.36222,8.96404,-4.0176,0,211,146,230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,42,0,67,0,0,0
